tabla,severidad,columna,detalle,filas_afectadas,ejemplos
docentes_2025,ALTA,-,"6,449 filas idénticas a otra (4.35%). Error de exportación.",6449,
docentes_2026,ALTA,-,641 filas idénticas a otra (0.41%). Error de exportación.,641,
estudiantes_2026,ALTA,Sexo,"21 valores fuera del dominio permitido ['f', 'm'].",21,'0'
docentes_2025,BAJA,CONTEXTO,"128,730 valores vacíos (86.8%) [ESPERADO: solo aplica a un subsistema, ver D2]",128730,
docentes_2025,BAJA,IVSMEDIA,"148,372 valores vacíos (100.0%) [ESPERADO: solo aplica a un subsistema, ver D2]",148372,
docentes_2026,BAJA,CONTEXTO,"139,255 valores vacíos (89.4%) [ESPERADO: solo aplica a un subsistema, ver D2]",139255,
docentes_2026,BAJA,IVSMEDIA,"23,096 valores vacíos (14.8%) [ESPERADO: solo aplica a un subsistema, ver D2]",23096,
estudiantes_2025,BAJA,CONTEXTO,"313,252 valores vacíos (57.3%) [ESPERADO: solo aplica a un subsistema, ver D2]",313252,
estudiantes_2025,BAJA,IVSMEDIA,"547,142 valores vacíos (100.0%) [ESPERADO: solo aplica a un subsistema, ver D2]",547142,
estudiantes_2026,BAJA,CONTEXTO,"278,532 valores vacíos (55.2%) [ESPERADO: solo aplica a un subsistema, ver D2]",278532,
estudiantes_2026,BAJA,IVSMEDIA,"238,873 valores vacíos (47.3%) [ESPERADO: solo aplica a un subsistema, ver D2]",238873,
