dimension;subsistema;grupo;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct;contribucion_perdida_pct
ciclo_2025;Secundaria;3er. ciclo ebi;85482;15,391696497508248;10,50411782597506;417800;-4,887578671533188;-31,754645580001107;66,67007091474272
ciclo_2025;Secundaria;4to. ciclo;49252;13,062271582879884;9,219788028912532;189250;-3,8424835539673516;-29,416656433659803;30,199403831055676
ciclo_2025;Secundaria;bachillerato;10660;4,127861163227017;2,6433395872420262;15825;-1,4845215759849908;-35,963457037020206;2,525260584551948
ciclo_2025;Secundaria;ciclo basico;3635;4,633562585969739;3,5900962861072903;3793;-1,0434662998624487;-22,519741138752003;0,605264669649639
ciclo_2025;UTU;bachillerato figari;509;3,2907662082514735;2,7465618860510808;277;-0,5442043222003927;-16,53731343283581;0,23011804972875977
ciclo_2025;UTU;bachillerato tecnico profesional;10842;7,090204759269508;5,426674045379081;18036;-1,6635307138904265;-23,462379019669065;14,983426515913036
ciclo_2025;UTU;bachillerato tecnologico;16344;11,961147821830641;8,970141948115517;48885;-2,9910058737151246;-25,006010445386796;40,611266646174805
ciclo_2025;UTU;educacion basica integrada;18098;10,370261907393083;7,499336943308653;51958;-2,8709249640844297;-27,684208843729518;43,164164721324546
ciclo_2025;UTU;formacion profesional basica;2220;3,1536036036036035;2,6054054054054054;1217;-0,548198198198198;-17,383230967004714;1,011024066858847
grado_2025;Secundaria;1;27529;11,57542954702314;9,130843837407825;67297;-2,444585709615314;-21,118747254126646;10,738860130084829
grado_2025;Secundaria;2;29558;11,699844373773598;7,624703971851952;120453;-4,0751404019216455;-34,83072314240769;19,22118250812232
grado_2025;Secundaria;3;6460;6,146284829721362;2,8772445820433434;21118;-3,269040247678019;-53,187256013096594;3,3698864470501126
grado_2025;Secundaria;7;30731;16,363834564446325;10,79453971559663;171150;-5,569294848849696;-34,03416740077594;27,3111121040168
grado_2025;Secundaria;8;29960;15,098297730307076;11,046228304405874;121400;-4,052069425901202;-26,837922382252486;19,372299207874025
grado_2025;Secundaria;9;24791;14,541204469363882;9,488967770561898;125250;-5,052236698801984;-34,74427933013584;19,98665960285191
grado_2025;UTU;1;13621;9,020703325747009;6,702958666764554;31570;-2,3177446589824546;-25,69361362730018;26,05537902859737
grado_2025;UTU;2;15609;9,674290473444808;7,614709462489589;32148;-2,0595810109552186;-21,289220295882284;26,5324144761276
grado_2025;UTU;3;1265;8,119367588932807;3,7802371541501976;5489;-4,339130434782609;-53,44172914029793;4,530186109850205
grado_2025;UTU;7;7148;10,387660884163402;7,265249020705093;22319;-3,12241186345831;-30,05885442620301;18,420335905583297
grado_2025;UTU;8;6415;9,972252533125488;8,276383476227592;10879;-1,6958690568978962;-17,005877571437512;8,978665456196095
grado_2025;UTU;9;4535;10,905843439911797;6,769128996692393;18760;-4,136714443219404;-37,93117392535079;15,483019023645442
zona_2025;Secundaria;rural;2280;9,517105263157895;6,730701754385965;6353;-2,7864035087719294;-29,27784690538734;1,0137744387777898
zona_2025;Secundaria;urbana;146749;13,61646757388466;9,389420030119455;620315;-4,227047543765206;-31,043642712977615;98,98622556122221
zona_2025;UTU;rural;2659;9,72696502444528;6,850695750282061;7648;-2,876269274163218;-29,57005876894524;6,303573783463009
