universo_docente;subsistema;cuartil_docente_abril;centros;estudiantes_representados;delta_doc_abril_promedio;delta_est_abril_promedio;delta_est_mayo_junio_promedio
solo_docentes_un_centro;Secundaria;Q1 mayor caída docente;71;26689;-2,1937842778793417;-1,0935216755966877;-4,696654052231256
solo_docentes_un_centro;Secundaria;Q2;70;32043;-1,1168658698539176;-0,9373966232874574;-4,563804887182848
solo_docentes_un_centro;Secundaria;Q3;70;33104;-0,36466666666666664;-0,6685596906718221;-3,90656718221363
solo_docentes_un_centro;Secundaria;Q4 mejor evolución docente;71;29154;0,6763485477178424;-0,42385264457707345;-3,9237840433559716
solo_docentes_un_centro;UTU;Q1 mayor caída docente;32;8917;-1,5764331210191083;-0,2449254233486599;-2,966804979253112
solo_docentes_un_centro;UTU;Q2;31;9279;-0,4776536312849162;-0,464166397241082;-2,665912275029637
solo_docentes_un_centro;UTU;Q3;31;8046;0,04062499999999996;-0,40169028088491177;-2,508699975142928
solo_docentes_un_centro;UTU;Q4 mejor evolución docente;32;8987;0,9154411764705882;-0,04751307444085897;-1,9363525091799265
todos_docentes_estables;Secundaria;Q1 mayor caída docente;77;27239;-1,7658585187645301;-1,4394434450603915;-5,107860053599619
todos_docentes_estables;Secundaria;Q2;76;35534;-0,9127004326800713;-0,9661451004671582;-4,3857432318343
todos_docentes_estables;Secundaria;Q3;76;33587;-0,42634489693313216;-0,6789233929794266;-4,054544913210468
todos_docentes_estables;Secundaria;Q4 mejor evolución docente;77;26849;0,44376606683804626;0,023278334388617757;-3,458080375432977
todos_docentes_estables;UTU;Q1 mayor caída docente;52;8219;-1,731829573934837;-0,43204769436671137;-2,535588271079207
todos_docentes_estables;UTU;Q2;51;13223;-0,9136051675413807;-0,2913862209785979;-2,4566286016788927
todos_docentes_estables;UTU;Q3;51;14434;-0,20960187353629978;-0,2604960509907164;-2,7741443813218787
todos_docentes_estables;UTU;Q4 mejor evolución docente;51;6127;0,7965072133637054;0,20336216745552477;-2,1395462706055164
