subsistema;umbral_abril;destino;personas_activas_abril_ambos;retencion_2025_pct;retencion_2026_pct;diferencia_retencion_pp;promedio_dias_2025;promedio_dias_2026;diferencia_promedio
Secundaria;1;Mayo;109566;97,39700271982184;93,57921252943432;-3,8177901903875266;8,606912728401147;6,383084168446416;-2,2238285599547307
Secundaria;1;Junio;109566;96,45966814522754;90,66407462168921;-5,795593523538329;7,679873318365186;5,3089553328587336;-2,370917985506453
Secundaria;1;Mayo y junio;109566;94,89440154792545;87,37838380519504;-7,516017742730412;16,286786046766334;11,69203950130515;-4,594746545461184
Secundaria;5;Mayo;45055;93,28598379758073;83,9751414937299;-9,310842303850833;11,483542337143492;9,124847408722673;-2,358694928420819
Secundaria;5;Junio;45055;89,41293974031738;73,31039840195317;-16,10254133836422;10,210564865164798;7,566485406725114;-2,644079458439684
Secundaria;5;Mayo y junio;45055;85,72189546110309;67,27555210298523;-18,446343358117858;21,694107202308288;16,691332815447787;-5,0027743868605015
UTU;1;Mayo;28637;94,39187065684254;89,91514474281523;-4,476725914027313;6,8658728218738;5,511436253797535;-1,354436568076265
UTU;1;Junio;28637;93,10681984844781;86,16824388029472;-6,9385759681530885;6,309145511052136;4,786604742116842;-1,5225407689352934
UTU;1;Mayo y junio;28637;89,7545133917659;81,39469916541537;-8,359814226350522;13,175018332925935;10,298040995914377;-2,8769773370115583
UTU;5;Mayo;7848;90,81294597349643;82,79816513761467;-8,014780835881751;11,187945973496433;9,602573904179408;-1,5853720693170246
UTU;5;Junio;7848;86,46788990825688;75,86646279306831;-10,60142711518857;10,077217125382264;8,362512742099899;-1,7147043832823652
UTU;5;Mayo y junio;7848;81,7533129459735;69,01121304791029;-12,742099898063216;21,265163098878695;17,965086646279307;-3,300076452599388
